,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
FRID,,,,,,,TF4(15B11EC211) -121 /ABHIJEET,TF5(15B11CI312)-148/ADITI
FRID,,,,,,,TF8(15B11CI312) -126/LTM,
SATU,,,PF1(15B17CI371 ) -EMBEDDED LAB/ ABS,,,,,
SATU,PF8(15B17EC271)-130/RAGHVENDRA,,PF6(15B17EC271)-130/PARUL,,,,,
SATU,PF6(15B17CI371 ) -CL4/ NRJ,,PF7(15B17CI372) - CL2/ SGU,,,,,
SATU,PF9(15B17CI371 ) - MML LAB/ SQM/ABS,,PF8(15B17CI371 ) - MML LAB/ NRJ,,,,,
SATU,LE1E2(19B13BT211)-153 /ANS,LE3E4(18B11EC214) -148/ABK,PF9(15B17CI372) - CL2/ LTM,,,,,
SATU,LE5E6(19B13BT211)-148 /RAJ,LE5E6(15B11EC211) -153 /ATUL,PF5(15B17CI371 ) -CL4/ SQM,,,,,
SATU,,LE1E2(15B11EC211)-217/SK,PE2(22B15HS211)-SR05/EKTA,,,,,
SATU,,TF4(15B11CI312) -SR05/DVP,PE1(22B15HS211)-CR10/AB,,,,,
SATU,PF1(15B17EC271)-130/VIMAL,,TE4(15B11MA301) -126 /LKK,LE3E4(19B13BT211)- 148/ANS,,,,
SATU,,TF6(15B11HS211) -123/AA,LF3F4(15B11CI312)-SR05/DVP,LE5E6(19B13BT211)-153/RAJ,,,,
